date,agent,equity,cash
2022-01-03,MomentumAgent,100000.0,100000.0
2022-01-03,MeanReversionAgent,100000.0,100000.0
2022-01-03,LowVolatilityAgent,100000.0,100000.0
2022-01-03,DrawdownBuyerAgent,100000.0,100000.0
2022-01-03,RandomAgent,100000.0,100000.0
2022-01-03,CommitteeTeamAgent,100000.0,100000.0
2022-01-03,DynamicTeamAgent,100000.0,100000.0
2022-01-03,TruthfulReporterAgent,100000.0,100000.0
2022-01-03,PersuaderAgent,100000.0,100000.0
2022-01-03,FreeRiderAgent,100000.0,100000.0
2022-01-03,ContrarianAgent,100000.0,100000.0
2022-01-03,SocialGraphAgent,100000.0,100000.0
2022-01-04,MomentumAgent,100000.0,100000.0
2022-01-04,MeanReversionAgent,100000.0,100000.0
2022-01-04,LowVolatilityAgent,100000.0,100000.0
2022-01-04,DrawdownBuyerAgent,100000.0,100000.0
2022-01-04,RandomAgent,100000.0,100000.0
2022-01-04,CommitteeTeamAgent,100000.0,100000.0
2022-01-04,DynamicTeamAgent,100000.0,100000.0
2022-01-04,TruthfulReporterAgent,100000.0,100000.0
2022-01-04,PersuaderAgent,100000.0,100000.0
2022-01-04,FreeRiderAgent,100000.0,100000.0
2022-01-04,ContrarianAgent,100000.0,100000.0
2022-01-04,SocialGraphAgent,100000.0,100000.0
2022-01-05,MomentumAgent,100000.0,100000.0
2022-01-05,MeanReversionAgent,100000.0,100000.0
2022-01-05,LowVolatilityAgent,100000.0,100000.0
2022-01-05,DrawdownBuyerAgent,100000.0,100000.0
2022-01-05,RandomAgent,100000.0,100000.0
2022-01-05,CommitteeTeamAgent,100000.0,100000.0
2022-01-05,DynamicTeamAgent,100000.0,100000.0
2022-01-05,TruthfulReporterAgent,100000.0,100000.0
2022-01-05,PersuaderAgent,100000.0,100000.0
2022-01-05,FreeRiderAgent,100000.0,100000.0
2022-01-05,ContrarianAgent,100000.0,100000.0
2022-01-05,SocialGraphAgent,100000.0,100000.0
2022-01-06,MomentumAgent,100000.0,100000.0
2022-01-06,MeanReversionAgent,100000.0,100000.0
2022-01-06,LowVolatilityAgent,100000.0,100000.0
2022-01-06,DrawdownBuyerAgent,100000.0,100000.0
2022-01-06,RandomAgent,100000.0,100000.0
2022-01-06,CommitteeTeamAgent,100000.0,100000.0
2022-01-06,DynamicTeamAgent,100000.0,100000.0
2022-01-06,TruthfulReporterAgent,100000.0,100000.0
2022-01-06,PersuaderAgent,100000.0,100000.0
2022-01-06,FreeRiderAgent,100000.0,100000.0
2022-01-06,ContrarianAgent,100000.0,100000.0
