experiment_type,portfolio,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days,average_agent_correlation,final_weight_hhi,regret_to_best_agent
single_agent,CommitteeTeamAgent,-0.373700118147,-0.27996868520865414,0.13564291538855794,-2.0640125907546714,-0.4432771597985833,359,0.7210287051412874,,0.2928700702130004
single_agent,ContrarianAgent,-0.33176580081499996,-0.24645581253450244,0.13894813007433862,-1.7737252916080708,-0.4842442452756971,359,0.7210287051412874,,0.25093575288100034
single_agent,DrawdownBuyerAgent,-0.4302047199529999,-0.3262064040070518,0.14611335495585498,-2.232557072593454,-0.546657648269,359,0.7210287051412874,,0.3493746720190003
single_agent,DynamicTeamAgent,-0.3749272534489999,-0.28095927647867436,0.13543727484112703,-2.07446049699575,-0.44498964243831696,359,0.7210287051412874,,0.2940972055150003
single_agent,FreeRiderAgent,-0.17200306750399996,-0.12408840194690096,0.14898029053299985,-0.8329182437687271,-0.3245908088321895,359,0.7210287051412874,,0.09117301957000035
single_agent,LowVolatilityAgent,-0.17534969952900026,-0.12657501136658555,0.148597654316263,-0.8517968331935692,-0.3274860610190776,359,0.7210287051412874,,0.09451965159500064
single_agent,MeanReversionAgent,-0.6272693142929999,-0.4998032287738001,0.1457296419353356,-3.4296607206073904,-0.6366268859150824,359,0.7210287051412874,,0.5464392663590003
single_agent,MomentumAgent,-0.08200183569100006,-0.0582907948545035,0.14017891819159975,-0.41583139324010415,-0.2731660331657213,359,0.7210287051412874,,0.001171787757000442
single_agent,PersuaderAgent,-0.6237601703069997,-0.4965022271740628,0.1475060190613805,-3.3659794382184316,-0.6355650640654844,359,0.7210287051412874,,0.5429301223730001
single_agent,RandomAgent,-0.3489282495909999,-0.2600935748873523,0.12199085384431026,-2.132074386652744,-0.4386929770603659,359,0.7210287051412874,,0.26809820165700027
single_agent,SocialGraphAgent,-0.392931217702,-0.29556021736350013,0.13663727854210236,-2.1631008793286854,-0.45370774857179197,359,0.7210287051412874,,0.3121011697680004
single_agent,TruthfulReporterAgent,-0.08083004793399962,-0.05744717367280183,0.1405342886487172,-0.40877692003264865,-0.2708171981216423,359,0.7210287051412874,,0.0
agent_portfolio,equal_agent_portfolio,-0.3571293657100708,-0.2666481711684182,0.12095064097330537,-2.204603208570588,-0.4318261382458781,359,0.7210287051412874,0.08333333333333334,0.2762993177760712
agent_portfolio,hedge_agent_portfolio,-0.3224668596043444,-0.23911027737766954,0.12188524531117138,-1.9617655670070995,-0.4094574768935786,359,0.7210287051412874,0.09745990111241654,0.2416368116703448
